iter	RMSE	MAE
4575	7924.407671	4420.734933
4580	7924.369077	4420.674133
4585	7924.328553	4420.6136
4590	7924.28858	4420.552
4595	7924.249434	4420.492267
4600	7924.209461	4420.430933
4605	7924.171141	4420.369867
4610	7924.131995	4420.309067
4615	7924.092021	4420.2488
4620	7924.051771	4420.189867
4625	7924.013175	4420.1296
4630	7923.973752	4420.068267
4635	7923.934053	4420.0072
4640	7923.895733	4419.9464
4645	7923.854379	4419.8864
4650	7923.815507	4419.825867
4655	7923.778012	4419.7648
4660	7923.73721	4419.704267
4665	7923.697234	4419.643733
4670	7923.657533	4419.582667
4675	7923.618384	4419.5216
4680	7923.580613	4419.461333
4685	7923.53981	4419.400533
4690	7923.499833	4419.340267
4695	7923.460407	4419.278933
4700	7923.421808	4419.218933
4705	7923.381555	4419.157867
